56
4->149,699;228,705;141,879;61,864;
4->230,706;317,712;233,898;143,881;
4->317,712;415,718;340,913;233,898;
4->417,718;527,722;461,928;340,915;
4->527,723;650,723;598,941;463,930;
4->651,725;780,728;746,950;599,942;
4->781,728;916,728;909,956;748,951;
4->916,728;1054,726;1070,953;910,959;
4->1056,726;1195,725;1229,948;1071,954;
4->1197,726;1327,722;1379,938;1230,950;
4->1329,723;1447,715;1515,919;1379,936;
4->1448,717;1558,711;1635,904;1515,921;
4->1560,714;1660,708;1744,885;1637,904;
4->1660,709;1748,697;1836,869;1744,884;
4->1750,700;1833,685;1918,849;1837,869;
4->484,407;567,406;504,529;411,527;
4->568,407;653,404;601,525;504,530;
4->653,404;745,401;708,525;602,527;
4->745,400;841,398;815,524;709,527;
4->841,398;938,395;929,524;815,524;
4->938,395;1034,397;1044,524;930,525;
4->1034,397;1134,395;1157,524;1045,524;
4->1135,395;1229,397;1269,522;1158,525;
4->1229,397;1322,400;1371,522;1270,522;
4->1322,401;1410,403;1473,524;1371,522;
4->1408,401;1492,403;1563,522;1473,525;
4->1491,404;1569,407;1641,519;1561,524;
4->1571,409;1644,409;1725,521;1643,521;
4->542,316;616,313;567,406;483,406;
4->618,316;694,309;651,401;568,406;
4->696,311;775,305;743,400;653,403;
4->777,306;858,305;840,397;743,398;
4->860,305;942,305;938,395;841,397;
4->944,305;1028,303;1034,395;938,395;
4->1030,305;1116,303;1134,395;1033,395;
4->1117,305;1197,305;1226,397;1134,397;
4->1198,308;1279,308;1319,398;1227,397;
4->1281,311;1358,313;1408,400;1321,398;
4->1361,314;1431,313;1489,401;1408,400;
4->1434,316;1505,320;1566,406;1491,403;
4->1508,322;1572,320;1641,407;1568,407;
4->515,196;572,191;533,241;477,242;
4->573,191;633,185;596,237;535,242;
4->634,185;693,181;663,233;598,237;
4->693,181;752,178;731,228;663,233;
4->752,178;821,175;803,227;732,230;
4->823,175;886,172;875,221;804,228;
4->886,173;950,173;950,221;875,222;
4->952,173;1021,172;1022,221;950,221;
4->1022,172;1086,173;1096,221;1024,222;
4->1088,173;1152,175;1169,224;1097,224;
4->1154,175;1218,178;1243,227;1171,225;
4->1218,178;1281,181;1310,230;1244,228;
4->1283,181;1342,184;1376,234;1310,231;
4->1342,185;1404,188;1440,237;1378,236;
4->1405,190;1462,193;1506,242;1440,239;
